x_l,y_l,x_r,y_r
436.7159512426581,-201.52618619112994,427.91486479899737,-203.14098692534188
437.6239737790354,-206.35694512641467,429.0089496397292,-208.12210661454333
438.6402778126455,-211.11623334018358,430.2275339384819,-213.08920609917524
439.8027030669415,-215.79172746656562,431.61880374488754,-218.0244569366279
441.15204102510575,-220.36964417695089,433.23353704426745,-222.90667387828424
442.712022399183,-224.84407439290337,435.04088436601404,-227.73842099897337
444.5190750279222,-229.22661142984524,437.0525025524011,-232.4985221052443
446.7727981429041,-233.4435390050473,439.23017969864634,-237.17915086983507
449.11102977781525,-237.6577101770948,441.5576925430607,-241.7778937431596
451.40594588674514,-241.9494617269008,443.98390400658485,-246.31553723347957
453.84585025140314,-246.209499381401,446.53058370395024,-250.76735373841123
456.42582990418316,-250.41725312091884,449.2254607188394,-255.09789705041743
