x_l,y_l,x_r,y_r
-398.1429183873435,-1416.1258439088454,-389.85420178779145,-1418.695836347027
-396.64269478433886,-1411.3263045830186,-388.34391950362476,-1413.957799374997
-395.14471892281307,-1406.554547246169,-386.8199614195971,-1409.2000410587966
-393.6480507564061,-1401.7872862459312,-385.2977665794306,-1404.444902313717
-392.1455086173044,-1397.0188759469,-383.77204116540815,-1399.6992316755363
-390.63069623912924,-1392.2495430973281,-382.2383791809387,-1394.9627357544764
-389.0972044803075,-1387.4795406400576,-380.6895301456804,-1390.23600872129
-387.5386773759401,-1382.7093234539302,-379.11915628267224,-1385.5191349351542
-385.9496116973947,-1377.9405469568044,-377.5215878767274,-1380.8127639538754
-384.32575143682277,-1373.176235998463,-375.89252888060486,-1376.11925847838
-382.6628542730962,-1368.4192639885396,-374.2279353411371,-1371.4414722228078
-380.9566571547155,-1363.6724764692653,-372.5228535937955,-1366.7826337797264
-379.19353387457033,-1358.942274880137,-370.76394587976046,-1362.14920600471
-377.37396554634904,-1354.2299993959232,-368.9520120270068,-1357.5425813070672
-375.4992854423501,-1349.5364435943563,-367.08966069375253,-1352.9632165059709
-373.5633404955295,-1344.8652596800855,-365.1711046848018,-1348.4147557143333
-371.60943805951683,-1340.198472544368,-363.2958812694244,-1343.8546313890997
-369.6059704481218,-1335.5490297862766,-361.39978629462854,-1339.307648899589
-367.5289857703903,-1330.9295702942022,-359.43479779715693,-1334.7931285057432
-365.2924229280674,-1326.386770696335,-357.28825237197566,-1330.3643450462362
-362.9717672524766,-1321.8892318141357,-355.05518859071344,-1325.9777379339937
-360.58428087996174,-1317.4294082290473,-352.7544865625191,-1321.6248831659934
-358.1449672140536,-1312.999734974622,-350.3914091300409,-1317.303658886338
-355.6935434249467,-1308.5774500373914,-347.97457645288006,-1313.0097575497539
-353.1798773144122,-1304.190223262358,-345.4960402846275,-1308.7481838259994
-350.57342970634136,-1299.8576950013487,-342.96437635265477,-1304.5145767972235
-347.8751915661759,-1295.5820392204603,-340.3828630434631,-1300.30741511109
-345.1205883951776,-1291.343102581365,-337.743822350251,-1296.1321888948928
-342.31233128843246,-1287.1400775630068,-335.0490421812188,-1291.9887805179249
-339.44897475746046,-1282.9749396627353,-332.2937154314316,-1287.8815922872113
-336.5201861397918,-1278.8561569154347,-329.43891768018096,-1283.8395210404933
-333.541984864633,-1274.7740447017563,-326.534673179791,-1279.8301760243664
-330.5178582962998,-1270.7271684174825,-323.58277098188273,-1275.8533697343848
-327.44884082523834,-1266.7158288511,-320.58420437914685,-1271.9095202611659
-324.35576076826936,-1262.7250681301553,-317.56371753639274,-1267.9807215373273
