x_m,y_m,speed_kmh,time_s
-0.9854787046157929,1.5957773748851005,238.89258633666938,0.0
-3.6514723799127418,5.824556519315306,241.01878592220274,0.07532827409010946
-6.316098543422921,10.054166506905428,243.06407024410976,0.1499918265233509
-8.979423146908282,14.284566235719927,245.0331221778052,0.224026934356512
-11.64151108437468,18.515714515513345,246.93022016802212,0.29746693121620255
-14.302429183186742,22.74757004753063,248.75928592971857,0.37034255394829046
-16.962244484438916,26.98009087867427,250.52392396272725,0.4426821927723444
-19.621021938587834,31.21323690806648,252.22745671577647,0.51451215411388
-22.278827421499997,35.44696492063424,253.87295357301804,0.5858568323964496
-24.93572785042815,39.68123576636175,255.4632587881149,0.6567389783919849
-27.59179020538329,43.916007394593926,257.0010118916697,0.7271797672064737
-30.247078495366154,48.15123780884976,258.4886678919118,0.7971989544109381
-32.9016595172272,52.38688766684744,259.9285163715956,0.8668150816699045
-35.555599183976604,56.62291282022496,261.3226941281754,0.9360454628288355
-38.208965554605214,60.859275347082374,262.67320188546205,1.0049064349598436
-40.86182148846028,65.09593101643442,263.98191241932994,1.0734132540248198
-43.51423588416993,69.33284065388452,265.2505854266491,1.1415803832982725
-46.16627376090897,73.5699622824479,266.48087380912654,1.2094213976950208
-48.81799999741985,77.80725370512769,267.67433352109646,1.2769491121242071
-51.469482454007064,82.04467568711632,268.8324321994089,1.34417569460653
-54.12078713091846,86.28218522868191,269.9565539954341,1.4111126021206573
-56.77197899292236,90.51974126993842,271.04800718308854,1.4777707040127308
-59.42312492329785,94.75730362163483,272.1080299052456,1.5441603343636003
-62.074290809459285,98.994831102928,273.137794536899,1.61029128703756
-64.72554260244883,103.23228063808622,274.1384122921084,1.6761728474565176
-67.37694623574052,107.46961212649313,275.1109383045397,1.741813881228091
-70.02856860604446,111.70678440517032,276.05637484506707,1.8072228258645013
-72.68047569857863,115.9437564515326,276.9756747877252,1.8724077154382508
-75.33273241789807,120.18048612261303,277.8697446642431,1.9373761947983124
-77.98540564269908,124.41693322940733,278.73944833713125,2.0021355965394525
-80.63856126501521,128.65305561052227,279.58560875953555,2.0666928974038212
-83.29226635095586,132.88881238043862,280.40901106992726,2.1310547848344346
-85.94658467438875,137.12416319177152,281.21040446120713,2.1952276476787578
-88.60158515415284,141.3590649278115,281.9905043837317,2.259217604131498
-91.25733185522589,145.5934777067625,282.74999438783607,2.3230305145789885
-93.91389154861098,149.82736018009408,283.4895279683847,2.386672007054958
-96.57133015030993,154.06067023291791,284.20972980571696,2.450147463726115
-99.22971472495945,158.2933669866986,284.91119759684466,2.5134620686907914
-101.88911067193432,162.52541269073308,285.59450301300217,2.5766207927194262
-104.54957089291786,166.75679553646205,286.26019311332595,2.639628429236749
-107.21103045425957,170.98758153450086,286.9087912835001,2.7024896021251568
-109.87337977291547,175.21784749954378,287.5407978497776,2.7652087581889746
-112.53650979539688,179.44766831248856,288.15669096418304,2.8277902200785276
-115.2003117710652,183.6771153416873,288.756925558157,2.8902381114031073
-117.86467389709063,187.90626287591428,289.34193677970785,2.9525564198362537
-120.52948717131464,192.1351838893499,289.9121330949596,3.014749002378064
-123.19464286882902,196.36395280181884,290.4678991114371,3.076819595438712
-125.86002906356573,200.5926427190786,290.98482027289725,3.138771782068716
-128.52553686976185,204.82132581277313,291.0952108043951,3.2006143045920115
-131.1910554283236,209.05007630321805,290.79605278591396,3.2624338090495755
-133.8564768557562,213.27896837177684,290.0848276027051,3.3243174083109097
-136.52168934185548,217.50807432514716,288.9572371741444,3.386353247543142
-139.18658292754665,221.73746723605106,287.4067392857269,3.4486317245162272
-141.85104873427733,225.96722130896313,285.4242712181763,3.5112467984175413
-144.514976947437,230.19740985385963,282.9979669855076,3.5742974408224795
-147.17825663686637,234.42810600198757,280.1128081361144,3.637889357850696
-149.8407789656487,238.65938303858624,276.7501721609339,3.702137034128423
-152.50243201152634,242.8913141164631,272.8872449381809,3.7671661518724155
-155.16310887460097,247.12397442566558,268.49624094674897,3.833116712365967
-157.8226966990265,251.35743523628827,263.54338265420495,3.9001467582693428
-160.48111015697967,255.59180736312234,257.9875107471435,3.96843752424833
-163.1380037325216,259.8275636400693,251.7782606316798,4.038199404616477
-165.7912470327543,264.06604366410266,244.8537424587193,4.109678243380726
-168.4380579529877,268.3086661959594,237.13674489978942,4.183170032751207
-171.07562142975564,272.5567966455246,228.5292818310352,4.259039822386762
-173.70111186600138,276.81178802232336,218.90447124150526,4.337748374908793
-176.31139489999657,281.07423318907894,208.09379287874472,4.419893646637809
-178.9094915432165,285.3404247699602,195.86493261976602,4.506290703674079
-181.50916037276167,289.60233483916755,182.14924910967247,4.598096419394491
-184.12566401732275,293.85261540408345,168.3734451236036,4.696866868471842
-186.77428363730687,298.08403994940505,154.4276302299595,4.803818152686386
-189.47165713407057,302.29083143512844,140.22540098478927,4.920592966748402
-192.36144744825143,306.40463503577445,126.23002608230274,5.049403036567532
-194.5364187572836,310.99754758022283,112.86122050345217,5.192286615366852
-195.6503206587999,316.04361322998653,100.6802332069403,5.351616409085555
-196.85119070418926,320.7571085765464,90.51694284210069,5.52985316581621
-197.947833138131,325.26809362153404,83.36506517288802,5.7243446853401
-197.60123951522786,329.7779382391455,77.81912069147519,5.932822256306072
-195.23763294553262,333.8290783664227,72.05265535431417,6.163344583574045
-191.36681038554707,336.9816382016021,65.8725212011282,6.421870445788
-188.49239681594202,340.2464829279536,63.223682979657475,6.704015774939729
-186.0492152363335,342.16631984989965,62.5302632763113,6.978576588028542
-182.79303773307024,343.6561291749958,69.24658457047256,7.248997925875947
