x_m,y_m,speed_kmh,time_s
839.3435032650058,-1478.9823006234583,145.59107401488944,38.838811751614905
837.4407547195161,-1483.6943455130477,141.3829361157908,38.96374440226295
835.0596701614294,-1488.1313332545903,138.85036237466372,39.092409313911894
832.4761481089423,-1492.337096664118,138.13291851992602,39.22282712502391
829.5175477198189,-1496.1728077321225,139.25177550083757,39.35294385630549
826.2678186517303,-1499.6420636198918,142.11960950733933,39.48098364784506
822.480741625992,-1502.5308883588682,146.59338379390695,39.60611684631264
818.9245212794301,-1505.7919508228379,151.76872976151031,39.72803565956554
815.4996820842001,-1509.4299923783983,156.7980040177408,39.84638728071432
811.9766866572676,-1513.0506066264702,161.6825314753062,39.961220388754306
808.4194837656077,-1516.6605802502459,166.4285861933054,40.07269936142597
804.8645752326887,-1520.2738297081096,171.04248519928842,40.18098710698395
801.3192247217605,-1523.8922210552755,175.53376426098853,40.28632090073349
797.7827003746588,-1527.5155239762014,179.9117263133587,40.388930397836695
794.2543000407551,-1531.143481230523,184.18456435645297,40.48901720402315
790.5199455881253,-1534.490979700056,188.35954016696306,40.586759489903514
786.5258223041074,-1537.4895844175362,192.4431279579178,40.6823156807552
782.5362483864768,-1540.4934878088216,196.44112514123873,40.77582729885475
778.5507818129331,-1543.5022949456743,200.3587512963102,40.867421474569504
774.5689566778742,-1546.5155757279892,204.20072429550424,40.957212865477494
770.5903061760129,-1549.5329054500683,207.94889748715343,41.04530534743031
766.6143626367483,-1552.5538554212105,211.48856630642354,41.131802708026285
762.6406622842975,-1555.5779979120173,214.84001135681117,41.2168471380075
758.6687362164315,-1558.6049067787105,218.0205271998068,41.30056169276512
754.6981173582611,-1561.6341519672424,221.04500159946016,41.38305368845082
750.7283366307408,-1564.66530448145,223.92636144487895,41.464417522667816
746.7589252579758,-1567.6979348973232,226.67591315767052,41.54473674852071
742.7894148741885,-1570.7316123900537,229.30361212148188,41.62408576648772
738.8193352908766,-1573.7659068983912,231.81827891908884,41.70253123988385
734.8482155248978,-1576.8003864579255,234.2277713807337,41.780133190204566
730.8755852765751,-1579.8346205839919,236.53912514512461,41.85694591736939
726.9009785637909,-1582.868173394248,238.7586671619085,41.933018701273305
722.9240504833502,-1585.9005300727072,240.89211362927054,42.00839652214284
718.9449162381561,-1588.931312778609,242.9446054923173,42.0831189946571
714.9639742392395,-1591.9605362199468,244.92077582425154,42.15722061471401
710.9815046472576,-1594.9883397596068,246.82485576816575,42.230732827859825
706.9977770351369,-1598.014872040789,248.66072703477772,42.303684571261066
703.0130605676812,-1601.0402809240159,250.43195971190167,42.37610248599422
699.0276261664576,-1604.064712562944,252.1418459564382,42.448011141946004
695.0417432697088,-1607.0883165163507,253.79343069127077,42.51943330118019
691.0556829124713,-1610.1112386326,255.38953476148134,42.59039000241938
687.0697152565314,-1613.133626076996,256.93277937967434,42.660900816586796
683.084110561432,-1616.1556277972654,258.4256044047896,42.73098394252394
679.0991378464394,-1619.1773904669128,259.87028531276997,42.80065633813779
675.1150696602493,-1622.199062568294,261.2689301950773,42.86993380766336
671.1321758656838,-1625.220793289846,262.1849345647047,42.938831122999666
667.1507265947898,-1628.2427284155542,262.5892649230737,43.007476749878016
663.1709954232875,-1631.2650186777323,262.4857030254894,43.07600399030872
659.1932506674009,-1634.2878125270936,261.87419435888455,43.14454388379851
655.2177658249491,-1637.3112599943156,260.75079787176713,43.21322769032165
651.244812305337,-1640.3355106754182,259.1075403625544,43.28218947598503
647.274662134718,-1643.3607134687625,256.93213273509934,43.35156884980212
643.3075875339873,-1646.3870209789634,254.20752004426174,43.42151401136492
639.34385298547,-1649.4145908382088,250.91122937372376,43.49218521791568
635.3833591209744,-1652.4438218761206,247.01443247766946,43.563759415397044
631.4244608921636,-1655.47493992767,242.48010189551664,43.63644441646326
627.4644021385104,-1658.5073522445628,237.26063571019603,43.71048896455652
623.5007450498042,-1661.5401143157446,231.29554445663868,43.78618292615185
619.5310811295391,-1664.572259110146,224.50761568611978,43.8638707617383
615.553001817837,-1667.6028149720216,216.79718158774116,43.943971875785664
611.5641026657288,-1670.630808183166,208.03335566690507,44.027010791370564
607.5619781952555,-1673.6552614706077,198.040073080245,44.11366409121222
603.5442277971207,-1676.6751959945811,187.3270549876453,44.20483692846001
599.5084508149155,-1679.689625339816,176.97805366550048,44.301405761827155
595.4521778475629,-1682.6976334457017,167.12784491829888,44.40384274347059
591.4429457446815,-1685.8228385491923,157.9479676551706,44.51258001899901
587.2464452758608,-1688.8123409427592,149.67786964017756,44.627582470885
582.9606902202162,-1691.8163281758405,142.62374550029136,44.74783953752407
578.0928581333562,-1693.9043191198516,137.0475323135805,44.87216158613744
573.2201266429468,-1696.010975702972,133.12816743455255,44.99973730558016
567.986835967056,-1697.3900496923427,130.9740145027185,45.130780997919395
562.4909647114422,-1697.4982834297616,130.69620193029388,45.266921251810466
557.0601695533011,-1696.9264658686277,132.46749602779212,45.40757359118599
551.8035996183792,-1695.9936599952932,136.29868175778324,45.54755801417155
546.7907667149668,-1694.6797195902213,141.6782319228706,45.68080401763636
541.981784981094,-1692.989510330637,145.03446824614144,45.80629841269292
537.1310977494031,-1691.5121454331547,146.6943513915393,45.928432854588344
532.334545559092,-1689.6864025368843,146.76183326890092,46.05005202096179
527.9996244307938,-1686.8854217953128,145.21740708745847,46.17222666729483
523.9874188068692,-1683.675246518134,141.98383939644984,46.29599013233418
520.3258681365603,-1680.1244136680018,139.22350596924798,46.42261561144462
516.932328462207,-1676.3781626685563,137.22518032892455,46.55167319341726
513.8473257709616,-1672.4014927639926,135.87756692568996,46.68258050511644
511.214355256006,-1668.1216474193363,134.84033511270727,46.8148342004531
509.2447122322066,-1663.5114624856494,133.75786492765775,46.94814285223241
507.7642691420481,-1658.7568097811502,132.85885507222346,47.08252599485286
506.76102471402527,-1653.9136346171383,132.22563657348596,47.21779101012572
506.27212418876206,-1649.0202772608395,131.91793746679608,47.35372344389619
506.2436922330409,-1644.1222356106475,132.10422666736648,47.49011104783499
506.7571770458916,-1639.2618312240434,132.4763107782144,47.626453094739006
507.83501610253285,-1634.5132629444931,133.07339106743865,47.762442118092736
509.554568865957,-1629.988967667664,133.3208121067851,47.897670995147436
511.4472414948681,-1625.6050935572027,134.7401701166807,48.0323130314649
513.7741000046989,-1621.4694057127656,137.3198881928678,48.16510875517261
516.5593686900127,-1617.6277158917128,141.1138902505652,48.29537380998545
519.7087180484975,-1614.052461746326,146.19394889396276,48.422501849181785
523.1439133348432,-1610.7177004332648,151.41936219364268,48.54562710396468
526.7086331102726,-1607.49767635009,156.47836594909128,48.664694808703516
530.5271191815793,-1604.562503392354,161.36984346219705,48.77969801019607
534.038148603485,-1601.175145815885,166.10441347041382,48.89090711770943
537.6325725861424,-1597.7556047863206,170.70626471613951,48.99891190754857
541.3737255081764,-1594.4206743537668,175.19186295675414,49.10411433439798
545.209919491011,-1591.141756659521,179.5713710400712,49.20676403533141
549.0883454378642,-1587.8880005906915,183.8510302219825,49.3070159618809
552.9635773711459,-1584.6288166282675,188.03532182877564,49.40498223807152
556.8206500438365,-1581.354328603822,192.12918791819288,49.500785020107635
560.871260071745,-1578.4108543973239,196.13750692522842,49.59454418049771
565.3255583068474,-1576.1254577626294,200.0646782881563,49.68636760521337
569.8342004739201,-1573.9217425514776,203.91470443212978,49.776353147130884
574.3395651706179,-1571.7052135078582,207.15476868606746,49.86459127862319
578.8450934087055,-1569.4795485304876,209.5337623155682,49.95140661914218
583.3444004587983,-1567.234758482122,211.0930096168946,50.03721044394129
587.8303534444069,-1564.9611635088513,211.85882585484325,50.122370165077335
592.2957308398386,-1562.6494422898686,211.84438509570228,50.20722607337621
596.733579455013,-1560.2909002690117,211.0506668602868,50.29210529555012
601.1375572493507,-1557.8777352198292,209.46657650084543,50.377334226013645
605.5022600214838,-1555.4032767955844,207.06825317573475,50.46325096332933
609.8235056529082,-1552.8621964137212,203.81745510310336,50.55021893996158
614.0985824965443,-1550.2506945099774,199.6587499437651,50.638643508404954
618.3291465251799,-1547.5648341338424,194.51499911977098,50.72899363054874
622.6066944341329,-1544.89511804618,188.28242914069048,50.8217996998043
627.1343171507381,-1542.4750767658497,180.83548307311452,50.91751601116977
631.1496604654003,-1539.233756547381,172.08242087217604,51.01674975474539
634.8490888038726,-1535.564290677084,164.10624014606694,51.12050777089396
638.2981966019605,-1531.6297173803393,157.05210660704765,51.22900201113243
641.375587763587,-1527.3673640585187,151.06247616448442,51.34276197720009
643.9470062343897,-1522.7643903868377,146.31802974375844,51.46212593846488
645.9549355112986,-1517.9126357542928,142.94677744762865,51.58612584881803
