i,outer_lat,outer_lon,inner_lat,inner_lon
50,42.71496915786931,23.27502292911253,42.71504459447699,23.275289019999104
51,42.714968219931556,23.27500422815821,42.715045400476036,23.275256883135995
52,42.714967217195394,23.274985368025945,42.71504489343363,23.275277932397326
53,42.71496616237915,23.274966428535024,42.71504559711487,23.275244951017104
54,42.7149644528439,23.274937167746373,42.71504584380266,23.275219507185998
55,42.71496322211366,23.274916822197916,42.71504586138333,23.27519247199366
56,42.71496134616866,23.274886403545196,42.715045720379614,23.275172730249405
57,42.714961481618936,23.274888587330604,42.71504522583784,23.275139745099256
58,42.714959597128285,23.274858169205128,42.71504461663562,23.27511383404002
59,42.71495838145805,23.274838336327214,42.71504378811025,23.27508666116655
60,42.71495656996552,23.27480791377719,42.7150425464163,23.27505369561618
61,42.714955422324714,23.27478773131912,42.715041650150205,23.275033085047752
62,42.714954858975396,23.274777538781805,42.715040052467366,23.27500013480169
63,42.71495378492534,23.27475706771248,42.715038281244595,23.274967193413943
64,42.71495325656433,23.274746325964415,42.71503706758719,23.27494593463061
65,42.71495207233559,23.27472061072021,42.71503510135319,23.274913004282805
66,42.714951727177976,23.274712398786757,42.715033074330584,23.274880077613854
67,42.714950668356884,23.274683987841566,42.715031707595486,23.274858038645327
68,42.71495060002784,23.274681824349408,42.715029758598654,23.274826263503844
69,42.714949726929746,23.274651360528452,42.715028348310724,23.274802561062476
70,42.714949404160244,23.27463664022069,42.71502704363571,23.27477971811758
71,42.714949021294174,23.27461207211364,42.715025300229264,23.27474677525537
72,42.71494888184214,23.274597101449537,42.715023768254966,23.274713821914975
73,42.714948808700406,23.27457523078372,42.71502282756136,23.274690061074946
74,42.714948850234634,23.27455904819573,42.715022032272444,23.274666107662128
75,42.7149490471522,23.274536077452403,42.715021410934,23.274642015341158
76,42.714949146594485,23.27452836443142,42.71502086256019,23.274609031080164
77,42.71494965702648,23.274499676808205,42.71502068739847,23.27458476145624
78,42.71494999468213,23.27448505587621,42.715020700082434,23.27456256142288
79,42.71495082208645,23.274455117883157,42.715020826402764,23.2745445317138
80,42.71495152966715,23.27443290090782,42.715021025666815,23.27452862721755
81,42.71495227306479,23.27441121290446,42.71502128785104,23.274512706897077
82,42.71495304499948,23.274389543603817,42.71502182483696,23.274488267255506
83,42.71495382205901,23.27436788851259,42.71502248604802,23.274463840083705
84,42.714954367257505,23.274352453566724,42.71502297332817,23.27444803522214
85,42.714955299833164,23.27432464443063,42.715023785056935,23.27442367626406
86,42.71495558259475,23.274315615101123,42.71502402731716,23.27441671768385
87,42.714956299007476,23.274290464715442,42.715024888179414,23.27439253856556
88,42.7149566140477,23.274277953490735,42.71502606474505,23.274359570549617
89,42.71495721535771,23.27424748305697,42.71502687872967,23.274335613893417
90,42.71495738549077,23.27423522472722,42.71502788613719,23.274302640310417
91,42.714957575547146,23.274213951545114,42.71502849207516,23.274278913282522
92,42.714957575948546,23.274211082257573,42.71502904706837,23.274250665848047
93,42.714957558396414,23.274180606031916,42.71502935041009,23.274226707830636
94,42.71495752739056,23.274176340763397,42.715029462423985,23.2742085535875
95,42.71495712860107,23.274147642010984,42.715029449212366,23.27418529347884
96,42.71495682013953,23.27413406160646,42.71502924835476,23.274162122510642
97,42.714955914379246,23.274105605186197,42.71502860279477,23.27412914006874
98,42.71495453097777,23.27407516042738,42.71502788916821,23.274106230860326
99,42.71495327194369,23.274053525623412,42.71502647492522,23.274073272513345
100,42.714951915574225,23.27403361871169,42.71502456835605,23.27404033897005
101,42.714949444403445,23.274003242947675,42.715022964696985,23.2740177657042
102,42.71494748729418,23.273982690347133,42.715020188997634,23.27398489404987
103,42.71494532375185,23.273962178622117,42.715017988964085,23.273962546102766
104,42.71494292305777,23.273941749318357,42.71501554904203,23.27394027219812
105,42.714938956844286,23.27391153247156,42.71501149997556,23.2739075330831
106,42.71493599268927,23.273891254101972,42.715006889487256,23.273874868271047
107,42.714931164018104,23.273861163080323,42.71500171685509,23.273842287755066
108,42.71492763383127,23.273841021326003,42.71499597761337,23.273809802261237
109,42.71492288911812,23.273815910178957,42.7149917949107,23.27378799935727
110,42.71491782184173,23.273791083581337,42.71498509334323,23.27375569870923
111,42.714913478813614,23.273771149053108,42.71498027648675,23.27373404443523
112,42.71490655171902,23.273741470724154,42.714972625483455,23.27370195539068
113,42.71490162779294,23.273721677348778,42.71496439905296,23.27367000905535
114,42.71489383115165,23.27369221549386,42.7149585495309,23.27364859407209
115,42.7148855130437,23.273662896595784,42.71495242502576,23.27362722516335
116,42.71487965190763,23.27364333390967,42.714942875110715,23.273595649202157
117,42.714873367001324,23.27362326687437,42.71493275679359,23.273564250713335
118,42.71486721433626,23.273604366946028,42.71492207643597,23.273533038929653
119,42.71486063177739,23.2735849661805,42.714910840229685,23.273502022929524
120,42.714850430519526,23.273556248236847,42.714899052781064,23.273471212211323
121,42.71484326765191,23.27353700043407,42.71488671871436,23.273440616202453
122,42.714832220011594,23.273508597295216,42.71487383991104,23.273410245465698
123,42.71482067626253,23.273480392141455,42.71486042187429,23.273380109093083
124,42.71480864085502,23.273452393240643,42.71484647009338,23.273350216071467
125,42.71479669629522,23.273425868334986,42.71483198139497,23.273320579595193
126,42.714787323653475,23.273405848040014,42.71482168422441,23.273300290698128
127,42.714778278800466,23.27338713562691,42.7148110936772,23.273280064827947
128,42.714764611400824,23.273359896188712,42.71479534794893,23.273251076639536
129,42.71475498703809,23.27334139984145,42.714779068876645,23.273222384584344
130,42.714749667444856,23.273331407478565,42.71476741038922,23.273202572271135
131,42.71473501061145,23.273304687515378,42.7147502090445,23.273174423622116
132,42.71472938050544,23.27329470156611,42.71474321583003,23.273163280745212
133,42.714714074909566,23.273268347780927,42.71472526293248,23.273135605273005
134,42.71470321975677,23.273250323759605,42.71471232612863,23.273116398054132
135,42.71468708371275,23.273224470066225,42.714699067519604,23.273097323362837
136,42.714675592288806,23.273206713455576,42.71468098086631,23.273072261933947
