i,lat,lon,time_s,speed_kmh,a_mps2
0,42.71474117015183,23.275995561421606,0.0,75.61876543004604,2.878488140851
1,42.71476307420444,23.27599687443832,0.10384471827393202,76.69486227419553,3.4844257636572804
2,42.71478404010247,23.27599149429779,0.2061673209945737,78.87120617243023,4.5557419952441345
3,42.714803848322326,23.275981058419145,0.30564130655457444,82.03722687390558,5.976301219493633
4,42.71482236141878,23.275966979938303,0.4012528397550678,86.05011340900455,7.128398234857846
5,42.714839529184026,23.275950121969906,0.49241344822198946,89.90187069779034,8.054308451801933
6,42.71485537446793,23.275931230341925,0.5796717132688336,93.59539242707677,8.79863935069157
7,42.7148699730133,23.275910742848414,0.6634870500216524,97.14861510681999,9.39719923509141
8,42.71488336342488,23.27588899399142,0.7442521319364489,100.57702657295083,9.878743695709124
9,42.71489564860321,23.275866215712796,0.8222729202341712,103.89273199607645,10.266352633147687
10,42.7149067322242,23.275842650248844,0.8978002238227089,107.10569658516943,10.578538302466072
11,42.71491689770908,23.275818684938347,0.9710619537526489,110.22505001896495,10.830150264803253
12,42.71492628781388,23.275794137083114,1.042264972012171,113.25913546091427,11.033107809293803
13,42.71493465621385,23.27576904549831,1.1115813214977177,116.21490776108763,11.196994379023081
14,42.71494223825949,23.275743764463005,1.179115215924735,119.09652138723457,11.178095681323608
15,42.714949139249654,23.275718209655288,1.2450350927995735,121.73127315737703,10.780299920958962
16,42.71495529175793,23.275692397260958,1.3095335793194067,123.8649360296309,10.084759042592356
17,42.71496078068842,23.27566642856205,1.3729202553822173,125.53133015563165,9.155106453114103
18,42.714965659297796,23.27564032064266,1.4354740050529482,126.75559373260207,8.040958024353863
19,42.71496992398953,23.275614090561675,1.4974319447251307,127.55508111210439,6.780826742927034
20,42.714973681139895,23.275587794595648,1.5590036267159648,127.9408329839813,5.404405133762796
21,42.71497685660338,23.275561421579074,1.620390804394427,127.91845043997073,3.9342909354599906
22,42.714979537605544,23.275534980149555,1.6817978521984642,127.48822056046927,2.387309766980677
23,42.714981832183106,23.275508538962505,1.743414291732835,126.6451712694852,0.7756758149321472
24,42.71498361980677,23.275482083264446,1.8054459602043222,125.37878880410432,-0.8922788441969175
25,42.714984997950054,23.2754556248424,1.868106568226908,123.67249339388337,-2.6114950512312687
26,42.71498593287162,23.275429152081895,1.9316371187453143,121.50241077793238,-4.37985103054047
27,42.71498652783827,23.27540268878138,1.996304556606335,118.83605657236632,-5.832712553182578
28,42.714986740619594,23.275376239679687,2.062422924671688,116.06444261109833,-6.585852592782924
29,42.71498665824263,23.275349806041508,2.130126599968218,113.7249904581326,-6.771040072670789
30,42.71498625461484,23.275323447299805,2.1992222738173464,111.85647456935996,-6.495450832570086
31,42.71498553476163,23.2752971064526,2.269475194348948,110.49250442656495,-5.846783681288087
32,42.714984572511014,23.27527076122888,2.340597623853678,109.65983045568127,-4.897367339250918
33,42.71498340914648,23.275244471432607,2.4122592377283936,109.37612735077187,-3.7072640225903504
34,42.714981985663975,23.27522392602777,2.469565081897513,109.59339313405114,-2.4122222546662924
35,42.71498009199958,23.275213536006284,2.4981190001850226,109.87792154651845,-1.2074377242537855
36,42.71497852930862,23.275186768756903,2.569628892739822,110.807701853007,0.17911608797771195
37,42.714977019330306,23.27516057923524,2.640543064162128,112.26932751335589,1.7048959101779264
38,42.71497567628576,23.27513437842677,2.710536434805221,114.23676099986838,3.334440348466437
39,42.71497532642559,23.275108093417042,2.779327740716616,116.67674907695258,5.03826476712014
40,42.71497538162419,23.275081744054173,2.846682724742661,119.5509765090458,6.402686278653561
41,42.714975846370926,23.275055309005776,2.9124204044203004,122.35780059332565,7.495458976273603
42,42.714976718184516,23.275028755923074,2.976652310267193,125.10176057976979,8.370808008556079
43,42.71497801170386,23.275002087609554,3.0394767236333737,127.78687191689899,9.07212579622056
44,42.71497970657968,23.274975307766628,3.100982786137432,130.41678682529977,9.634137541351969
45,42.71498180116258,23.274948402773425,3.1612495568629164,132.9947500303722,10.084632365426133
46,42.714984287623636,23.27492139971247,3.220348917075289,135.5237181498549,10.445849407153206
47,42.71498712985884,23.274894305132374,3.2783460504057182,138.00637726698923,10.735586829181758
48,42.71499032213278,23.27486713816358,3.3352999867591038,140.44516369972197,10.968088911752789
49,42.71499382221654,23.27483993325878,3.391264819075933,142.8423137610657,11.15475616133635
50,42.71499759005917,23.274812723078348,3.446290054520701,145.19987715860668,11.30471339130783
51,42.715001564981236,23.274785545785992,3.500421219037302,147.5197414166381,11.42526428052567
52,42.715005651695925,23.274758454213575,3.5537004108511825,149.80365436317277,11.522255379116967
53,42.71500974699394,23.274731490776286,3.6061659742736025,152.0532093704149,11.600366436398769
54,42.7150136384891,23.274704657731363,3.657854912275597,154.2699472853264,11.66334428910604
55,42.715017020743616,23.274678032983697,3.708800623433949,156.4552595162869,11.714189070243101
56,42.715019501231524,23.274651616876348,3.759033327256994,158.61040554059852,11.755302161917266
57,42.71502037930957,23.27462537399171,3.8085837942725624,160.73667139357204,11.78860724046137
58,42.71502005539379,23.27459920428724,3.8574788846278953,162.835179201317,11.81564485806926
59,42.71501991033887,23.27457301009936,3.905744056433606,164.9069937096994,11.837648873268355
60,42.71502000595409,23.274546822985908,3.9534036212689143,166.9531329137646,11.85560790346248
61,42.715020315682125,23.27452060824167,4.000480036016761,168.97453760012507,11.870314112525865
62,42.71502083922892,23.274494330647883,4.0469944290669115,170.97209356825326,11.882402605171107
63,42.71502151348486,23.274467966919346,4.092965963515477,172.94660424116395,11.892382399693346
