x_l,y_l,x_r,y_r
101.39002712105484,1222.242276339513,110.0302240887801,1221.5871264643613
101.78245872412421,1227.249081090968,110.40516475367386,1226.5499804344329
102.20545086303919,1232.2622691574447,110.80963596333592,1231.5100938056605
102.66239276542224,1237.2799064149115,111.24685389247578,1236.4655624101401
103.15967200947091,1242.2996984115755,111.72300171211626,1241.4141108078954
103.69474574427005,1247.3203336682698,112.30982583752119,1246.3460159650188
104.27207320609094,1252.3399787209075,113.01421271413916,1251.2567069074541
104.92092103314985,1257.3535323718754,113.70121763575459,1256.1603381000623
105.65261376786398,1262.3573746831594,114.35743963048849,1261.0598355888028
106.45077588720112,1267.3519643327265,115.07732193755825,1265.9420763084254
107.32186631723002,1272.3348770112768,115.8679525380544,1270.8046697356976
108.27234556793911,1277.3036169886673,116.73246188639352,1275.6458857443995
109.30573936838285,1282.2562313526373,117.67693331884317,1280.4635147426354
110.35257683440419,1287.2079539458932,118.70450723051052,1285.2559837466856
111.4853598735645,1292.1441405748526,119.82126750299263,1290.021159653214
112.71955866790637,1297.0605735150416,121.0332854652762,1294.7568643887205
114.11546771236705,1301.9386591704797,122.42800739747373,1299.436371220717
115.64436444828486,1306.7832638405705,123.95931784534697,1304.0682023302754
117.29056680648132,1311.5977170399844,125.60022478997666,1308.6589791821052
119.05920144196172,1316.3760958902967,127.35476665156688,1313.210619803957
120.93849910630642,1321.1132022038319,129.16817379889588,1317.7536225494475
122.9160554499053,1325.8060433952876,131.03438378104778,1322.297613389178
124.97927402959428,1330.4563470670198,132.99456373717803,1326.8238367912597
127.11572970684672,1335.0659913793106,135.03541245839318,1331.3338807010407
129.31034747154933,1339.6380308680743,137.14260625287938,1335.8298287486643
131.5481609291217,1344.1755102980533,139.30442201105714,1340.3125271206561
133.80804159058172,1348.6845988228326,141.57770098187345,1344.7480403076686
