x_l,y_l,x_r,y_r
243.37016377057975,-1078.0407793233046,235.1312231774234,-1074.9717205258162
241.67694343403772,-1082.6834956075998,233.39580344071635,-1079.7272193331264
240.03319071099412,-1087.365057108981,231.72078531305974,-1084.4948040712873
238.42459481013705,-1092.078348216605,230.0900142010746,-1089.2668749247098
236.83575689187168,-1096.8159038106678,228.49031798042938,-1094.0368274577431
235.2539771563831,-1101.5711844717152,226.90582173132015,-1098.797106246612
233.66361493814975,-1106.3365571691863,225.32169641874074,-1103.5406316666842
232.05140872762775,-1111.1010706897607,223.72225143707536,-1108.2642520791974
230.41369774419667,-1115.8537704086998,222.09857444756173,-1112.9730197145648
228.75396645168044,-1120.5915038438422,220.4510692214707,-1117.6726858322877
227.07759841015982,-1125.3165744671535,218.78487165987974,-1122.3660004475448
225.38705877065976,-1130.030524589478,217.10236603183026,-1127.0545079189626
223.68575305396075,-1134.7352214362274,215.4068938245302,-1131.7400743848673
221.97707482402637,-1139.432533927168,213.70180034702264,-1136.4245682807134
220.26441268888334,-1144.1243325492994,211.99044181071957,-1141.1098604715885
218.5502060747854,-1148.8121427520623,210.2752424710609,-1145.7974742201943
216.84158422739404,-1153.4992007875742,208.5633312948977,-1150.4906475828568
215.14281717902352,-1158.1878103019703,206.85719012617284,-1155.1907942290957
213.45373185027984,-1162.8800346094868,205.15860698319665,-1159.897564418605
211.77211674030323,-1167.5774980624735,203.46878820043295,-1164.6090204797763
210.09818492083792,-1172.2809203751776,201.78667121173964,-1169.3234850228037
208.42865193705708,-1176.9888212572446,200.11085424432906,-1174.0401153473836
206.76306086105174,-1181.7007135011156,198.439929432691,-1178.7580841961856
205.10095633743865,-1186.4161032758482,196.77249071232245,-1183.4765651605555
203.43905413880896,-1191.1335016520547,195.10713604091654,-1188.1947322140054
201.77689403922352,-1195.8524187311377,193.4424621245005,-1192.9117574689644
200.11401609278727,-1200.5723616347095,191.77801035452384,-1197.6271469852077
198.44713098627088,-1205.2918399525026,190.11049573676604,-1202.3394089682604
196.7767252402134,-1210.0106806509086,188.43945770227265,-1207.0480679524953
195.09973731012508,-1214.7268728698095,186.76334124747305,-1211.7528685512855
193.41725223663724,-1219.4394851769061,185.0814951361393,-1216.4547792346905
191.73142784995827,-1224.1488023540855,183.3946870730563,-1221.1549891971333
190.0414543138633,-1228.8547186169433,181.70396035137352,-1225.854132769905
188.34933604459624,-1233.558171316499,180.010372224878,-1230.5528130327946
186.65707432392438,-1238.260101505977,178.3149803337968,-1235.2516314862035
184.9638462026694,-1242.9604306456868,176.6188404741641,-1239.9511914741995
183.27165389754535,-1247.6600972631586,174.92395423975245,-1244.6524338140198
181.5824947795282,-1252.3600419826635,173.22949806773522,-1249.3552832680948
179.8955462749711,-1257.060184798793,171.5374738137002,-1254.0606807177583
178.21372892674472,-1261.761856626943,169.84896182402485,-1258.7691776736879
176.5358633906156,-1266.4655980612242,168.16515824485197,-1263.4806249687683
174.86213223062578,-1271.1725889026518,166.48605066806618,-1268.1937707381192
173.19206084769243,-1275.8828969019805,164.81051978831783,-1272.9074968498837
171.52247713656448,-1280.5951642241766,163.1372807613068,-1277.621094495948
169.85303613291595,-1285.3090267569687,161.46504443430595,-1282.3338636918495
168.18339483222357,-1290.024124004929,159.79252589003679,-1287.0451083294004
166.51038014993995,-1294.7390889857427,158.11938317628025,-1291.754460736189
164.83458683990358,-1299.4538944801936,156.44244697902772,-1296.4605537786533
163.15284135989845,-1304.1671749292543,154.7613788095319,-1301.1630235905573
161.46479260779472,-1308.8785658223496,153.0748956970624,-1305.8611686281963
159.7701154136131,-1313.5876399378528,151.38169271658094,-1310.5543637130563
158.0665444765914,-1318.2910142869107,149.67987811901818,-1315.2440885564818
156.35977864074167,-1322.9863239811132,147.97107754140347,-1319.9362141689978
154.659670700262,-1327.6755383413072,146.2624638311192,-1324.6371478468477
152.97265065913618,-1332.3619729618908,144.56233127796608,-1329.351156310762
151.30788005856303,-1337.0500865150336,142.8790667334744,-1334.082393483265
149.67358273031212,-1341.7469140929109,141.22294943375775,-1338.832721599755
148.07451822139672,-1346.4755440718536,139.70911001738202,-1343.6210972637655
146.46246542409654,-1351.2410935512444,138.21690533355968,-1348.3794991017555
