x_l,y_l,x_r,y_r
-267.47366514975334,-1596.0208124693274,-262.52639912038114,-1588.7068902086921
-271.618416639887,-1593.2437727399201,-266.71229516249235,-1585.8997822681774
-275.7750799941592,-1590.4931384806714,-270.90796021132553,-1583.122043988023
-279.94528734869726,-1587.763559449398,-275.1080137848525,-1580.3692589098928
-284.1263345995049,-1585.0489774869168,-279.31128737586647,-1577.6377991572494
-288.3155186954007,-1582.343318350242,-283.514981146502,-1574.921542266203
-292.51175083779765,-1579.6430134704028,-287.7163154759416,-1572.2143686619427
-296.7122934368399,-1576.9419693806944,-291.91415003359094,-1569.512692438632
-300.91439985991644,-1574.2340765329643,-296.1057343275115,-1566.810414310216
-305.11693392125693,-1571.5157369395092,-300.28832667873803,-1564.1014496441926
-309.3170858637095,-1568.780843101766,-304.4608659174351,-1561.382219727556
-313.5092088927807,-1566.025250930176,-308.6233587337042,-1558.6449616930897
-317.68778396883306,-1563.2573467733241,-312.7836888293839,-1555.88556497628
-321.8533261759035,-1560.4923352183237,-316.95501256542883,-1553.1155101035852
-326.01402834391996,-1557.7465670100773,-321.1448650474978,-1550.3480740694322
-330.17681192475203,-1555.0334588439198,-325.3604201816128,-1547.5969293726798
-334.3497706045685,-1552.3655137715514,-329.6094389419185,-1544.8790876062787
-338.55442100032144,-1549.7466346620997,-333.88421851513294,-1542.213907549869
-342.8009608090603,-1547.14491678604,-338.15348532012456,-1539.594623574532
-347.0338241251177,-1544.4508894801245,-342.3212145269668,-1536.8821137022712
