time_s,lat,lon,speed_kmh
0.0,42.69761277111755,23.323625211164906,5.0
0.0845116575964263,42.697638858114615,23.323637843925813,95.35941291346836
0.1704807106927487,42.69766428736468,23.323640255361457,111.98710445413872
0.2578833718630855,42.69768930596286,23.323638149117937,113.39454740648607
0.3466908467138485,42.697713637419746,23.3236319182821,111.61787932962004
0.4368697717616825,42.69773734915872,23.323622661287537,109.61709536167864
0.5283826373977734,42.697760447400846,23.32361126235156,107.70234423235668
0.6211881959807066,42.697783041761014,23.323598211495973,106.00823113112156
0.715241855391152,42.69780513375416,23.3235838357883,104.3577306179331
0.8104960585618483,42.69782676294361,23.323568411841485,102.80070756008963
0.9069006495926036,42.697847982038724,23.323552061899708,101.39460604481364
1.0044032270939582,42.697868791954825,23.323534885244918,100.03844086970601
1.1029494853917905,42.69788917786062,23.323516976333,98.73282207709057
1.2024835441816215,42.69790919176208,23.323498406866463,97.58376016004473
1.3029482671557346,42.69792882739972,23.323479159065453,96.53553331512833
1.404285570045977,42.697948059321064,23.323459294357466,95.50257082402675
1.5064367184358936,42.69796688603826,23.323438848688472,94.54139107307365
1.6093426156015784,42.69798533139506,23.323417848807463,93.70145879265355
1.7129440805443958,42.69800338459355,23.32339627572603,92.95753406655416
1.8171821162824329,42.698021025410156,23.323374146969066,92.24988801195485
1.9219981683727363,42.698038227076054,23.323351482267057,91.56456551532723
2.027334373544022,42.69805500134398,23.323328328296213,90.94937330637148
2.133133798230386,42.69807135820553,23.323304672033245,90.4414605599272
2.239340666711143,42.698087261093455,23.32328049517144,89.97931190677369
2.3459005784807494,42.698102683387106,23.32325582450169,89.52779300955109
2.452760714396412,42.69811762073551,23.323230689723488,89.11011341481337
2.559870031079853,42.698132078126264,23.32320511218288,88.75354299983621
2.6671794429846463,42.698146047708896,23.323179090143878,88.46033592072091
2.77464199148221,42.69815948552509,23.323152610725995,88.19550606733162
2.882213000268984,42.69817236708117,23.32312569945172,87.94119040293546
2.989850216355754,42.69818470695493,23.32309839764297,87.71812855848698
3.097513935868673,42.69819650152997,23.323070719386898,87.53505396426081
3.205167113871996,42.698207715630154,23.32304266508528,87.37863316844627
3.31277545741638,42.69821832910424,23.32301425259905,87.244284677904
3.420307501025727,42.69822832491799,23.32298549641772,87.13515392739271
3.52773466386158,42.69823772678124,23.322956441033412,87.04229345829631
3.6350312878491513,42.698246506760334,23.322927102504114,86.95863889480225
3.742174656114486,42.69825464379136,23.322897499316742,86.8949093235291
3.849144991169886,42.69826212321008,23.322867640549273,86.86284923895721
3.955925432395355,42.69826897180948,23.322837566383654,86.84057322361627
4.062501992498477,42.698275169674694,23.32280730617868,86.8153403421001
4.16886349279353,42.69828071006281,23.322776882084217,86.80619791210249
4.275001477322435,42.69828559079827,23.322746309263486,86.8187487828911
4.38091010604355,42.69828982785194,23.32271562157626,86.83983973777218
4.486586027537141,42.698293409410496,23.322684835893813,86.87215758094214
4.592028231914899,42.69829636038625,23.32265398338845,86.90932867581965
4.697237884870997,42.69829867149103,23.32262308252411,86.94855880794182
4.8022181440682274,42.698300368175474,23.32259216588543,86.99878271497812
4.906973959308799,42.69830143246786,23.3225612257403,87.08241559242867
5.011511858188435,42.698301926073135,23.32253029755566,87.1479082859367
5.115839719167308,42.69830182049374,23.322499413081292,87.20931120305468
5.219966534204919,42.69830115438882,23.32246856035229,87.31279511178096
5.323902163290911,42.698299933694145,23.32243775266725,87.41731455464306
5.427657083353936,42.698298199098765,23.32240701952358,87.49575632239707
5.531242134140088,42.698295943386654,23.322376375705787,87.5934504997929
5.634668263717164,42.698293199008354,23.322345791110802,87.72547131440051
5.7379462762779605,42.69828999583715,23.322315306048797,87.8318560240411
5.841086584884077,42.69828634197234,23.322284908005464,87.96226634684838
5.944098971711628,42.698282283097086,23.322254593769667,88.08707340420872
6.04699235823431,42.69827783091996,23.322224387638048,88.20286091471377
6.149774587611262,42.698273022059375,23.32219425745931,88.37058420043817
6.252452221342293,42.698267898768265,23.322164176199266,88.54196621931092
6.355030352017881,42.69826253117982,23.322134178139965,88.64784390113401
6.457512433732758,42.6982569527393,23.322104243917344,88.808050976123
6.5599001314576135,42.69825126640577,23.322074259207433,89.0353403469542
6.662193190381012,42.69824594822649,23.322044145328615,89.18543429602934
6.764389325950177,42.6982405796893,23.322014012543345,89.4182802852732
6.86648413506181,42.69823512663215,23.321983791903392,89.75148957617957
6.968471028588312,42.698229505574936,23.321953564754768,90.04151023696329
7.070341185175602,42.69822368644308,23.3219233434722,90.3504673235176
7.172083526020296,42.698217675335314,23.321893095141093,90.7126744310515
7.273684710128773,42.69821151690148,23.321862813476365,91.0804817325656
7.375129149380694,42.69820523169443,23.321832500201104,91.45603572907359
7.476399042565411,42.69819883446419,23.32180214126774,91.86877585440615
7.577474427431373,42.69819236292947,23.32177170952326,92.31650293805757
7.678333249685265,42.69818584239262,23.32174120598897,92.78487988367428
7.778951447797843,42.69817935773682,23.32171058293513,93.30346961358151
7.879303052415212,42.69817304569629,23.321679779336286,93.86315557762539
7.979360299135668,42.69816699588428,23.32164877134534,94.46289547722994
8.07909375339079,42.698161323412656,23.32161750219618,95.14316096680918
8.178472446162626,42.698156227015474,23.32158590250362,95.91760351790548
8.277464019274532,42.69815198778427,23.32155389506576,96.83772330085444
8.376034879008843,42.698149046449885,23.32152137538061,98.08485374852104
8.474150356828147,42.69814804753017,23.32148819118865,100.01329111233136
8.571774876006472,42.698149702079945,23.321454267287393,102.01909094209819
